ours\auth,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,row_total
1,13380,1294,4372,23853,3017,2976,1470,1663,727,758,430,384,222,204,101,76,38,40,20,18,8,9,3,3,0,2,1,2,0,0,0,1,0,0,0,0,55072
2,1330,15650,3980,26607,3460,3577,1905,2088,906,1015,536,559,260,247,113,138,71,57,31,31,5,8,2,5,1,1,1,0,0,0,0,0,0,0,0,0,62584
3,2156,3044,44561,71937,10708,10816,4736,6060,2513,2675,1261,1193,513,482,216,175,92,68,42,17,15,10,3,4,0,0,0,2,0,1,0,0,0,0,0,0,163300
4,21180,23279,55238,952367,92287,103735,46544,80396,29929,39675,17874,20709,9441,9850,4628,4459,2198,1917,944,796,370,304,156,125,49,41,20,20,6,6,2,1,0,1,1,0,1518548
5,3493,3727,10002,81577,56966,14454,7134,9018,4273,4821,2679,2690,1497,1331,727,619,338,260,165,146,72,46,19,22,7,12,4,4,0,0,1,1,0,1,0,0,206106
6,3751,4172,11213,93140,12504,63433,6720,9106,4065,4962,2630,2875,1475,1410,830,688,365,326,150,121,66,39,34,34,16,6,4,3,1,0,0,0,1,0,0,0,224140
7,1797,2081,5846,46908,5157,5391,25295,3495,1483,1729,961,905,485,488,266,253,110,114,47,36,19,21,14,9,2,3,2,0,1,0,1,0,0,0,0,0,102919
8,2796,3106,9208,72456,7575,7987,3793,41572,2468,2859,1451,1750,846,835,460,478,211,197,105,92,56,36,18,17,5,10,1,0,0,1,1,1,0,0,0,0,160391
9,1074,1368,3816,30454,2959,2926,1281,1755,15211,959,467,468,265,221,137,121,72,52,33,32,11,10,7,3,0,3,1,1,0,0,0,0,0,0,0,0,63707
10,1431,1623,4861,38353,3490,3638,1604,2123,962,18998,615,593,316,308,157,171,77,88,54,30,19,8,10,8,1,2,2,0,1,0,0,0,0,0,0,0,79543
11,622,796,2308,19267,1673,1605,677,920,370,393,8899,285,120,112,55,48,22,22,12,4,7,1,6,0,0,1,1,0,0,0,0,0,0,0,0,0,38226
12,715,895,2627,21604,1827,1833,728,930,346,407,215,9789,142,121,54,54,38,38,8,14,10,4,3,1,2,1,0,0,0,0,0,0,0,0,0,0,42406
13,360,428,1257,10569,812,865,319,426,132,169,84,88,4468,58,18,17,8,13,7,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20105
14,304,429,1243,10646,853,879,333,372,153,157,61,95,40,4750,39,26,15,12,7,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20420
15,149,179,595,5405,451,425,147,179,74,76,28,34,17,15,2373,9,3,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10165
16,138,190,562,5100,445,382,136,168,78,45,21,29,14,6,4,2169,7,1,3,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,9502
17,72,91,292,2534,222,197,66,79,22,30,12,15,5,7,2,4,1097,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4759
18,59,89,248,2258,171,188,51,53,20,23,13,11,4,6,4,0,1,984,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4188
19,33,38,122,1153,84,88,30,47,12,11,5,3,1,1,0,1,0,1,487,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120
20,29,37,101,950,64,72,23,28,10,5,4,4,4,1,1,1,0,2,0,351,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1690
21,7,14,46,476,41,37,15,11,4,5,1,2,3,0,0,0,0,0,0,0,192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855
22,9,12,40,363,33,22,8,8,5,1,0,0,0,0,0,0,0,0,0,0,0,148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,650
