dataset,file,key,abs_value,value,dtype,shape,idx0,idx1,idx2,idx3,note
mfcadpp_v3,mfcad_29839_101.bin,edata:x,30.12085342,30.12085342,torch.float32,"(254,5,6)",79,0,5,,argmax(|tensor|)
mfcadpp_v3,mfcad_11116_101.bin,edata:x,16.70390701,-16.70390701,torch.float32,"(148,5,6)",3,0,4,,argmax(|tensor|)
mfcadpp_v3,mfcad_52288_101.bin,edata:x,14.62778854,14.62778854,torch.float32,"(212,5,6)",34,0,4,,argmax(|tensor|)
mfcadpp_v3,mfcad_30786_101.bin,edata:x,3.511711597,-3.511711597,torch.float32,"(126,5,6)",55,0,5,,argmax(|tensor|)
mfcadpp_v3,mfcad_58289_101.bin,edata:x,3.215004683,-3.215004683,torch.float32,"(162,5,6)",22,0,4,,argmax(|tensor|)
mfcadpp_v3,mfcad_38498_101.bin,edata:x,2.458257198,2.458257198,torch.float32,"(150,5,6)",12,0,3,,argmax(|tensor|)
mfcadpp_v3,mfcad_27973_101.bin,edata:x,2.387082577,2.387082577,torch.float32,"(156,5,6)",32,0,5,,argmax(|tensor|)
mfcadpp_v3,mfcad_38641_101.bin,edata:x,2.06099081,-2.06099081,torch.float32,"(126,5,6)",47,1,5,,argmax(|tensor|)
mfcadpp_v3,mfcad_53367_101.bin,edata:x,1.844721794,1.844721794,torch.float32,"(114,5,6)",73,4,5,,argmax(|tensor|)
mfcadpp_v3,mfcad_2475_101.bin,edata:x,1.732414842,-1.732414842,torch.float32,"(222,5,6)",37,0,4,,argmax(|tensor|)
mfcadpp_v3,mfcad_24747_101.bin,edata:x,1.705447197,1.705447197,torch.float32,"(170,5,6)",75,4,3,,argmax(|tensor|)
mfcadpp_v3,mfcad_42403_101.bin,edata:x,1.54440558,-1.54440558,torch.float32,"(162,5,6)",68,0,3,,argmax(|tensor|)
mfcadpp_v3,mfcad_3382_101.bin,edata:x,1.531441569,-1.531441569,torch.float32,"(108,5,6)",25,0,3,,argmax(|tensor|)
mfcadpp_v3,mfcad_40105_101.bin,edata:x,1.507316828,-1.507316828,torch.float32,"(122,5,6)",78,0,5,,argmax(|tensor|)
mfcadpp_v3,mfcad_275_101.bin,edata:x,1.448971152,1.448971152,torch.float32,"(226,5,6)",67,0,3,,argmax(|tensor|)
mfcadpp_v3,mfcad_33052_101.bin,ndata:x,1.433493137,-1.433493137,torch.float32,"(25,5,5,7)",22,0,4,0,argmax(|tensor|)
mfcadpp_v3,mfcad_44696_101.bin,ndata:x,1.424450994,-1.424450994,torch.float32,"(34,5,5,7)",6,0,0,1,argmax(|tensor|)
mfcadpp_v3,mfcad_49856_101.bin,ndata:x,1.418281317,-1.418281317,torch.float32,"(17,5,5,7)",5,0,0,0,argmax(|tensor|)
mfcadpp_v3,mfcad_46932_101.bin,edata:x,1.411766887,1.411766887,torch.float32,"(170,5,6)",28,0,5,,argmax(|tensor|)
mfcadpp_v3,mfcad_35933_101.bin,ndata:x,1.395747781,-1.395747781,torch.float32,"(23,5,5,7)",19,0,0,1,argmax(|tensor|)
mfcadpp_v3,mfcad_51087_101.bin,ndata:x,1.38513732,-1.38513732,torch.float32,"(27,5,5,7)",23,0,4,0,argmax(|tensor|)
mfcadpp_v3,mfcad_14228_101.bin,ndata:x,1.382525444,1.382525444,torch.float32,"(40,5,5,7)",16,0,0,2,argmax(|tensor|)
mfcadpp_v3,mfcad_23205_101.bin,ndata:x,1.360807896,-1.360807896,torch.float32,"(29,5,5,7)",26,4,0,2,argmax(|tensor|)
